session_id,record_index,frame_timestamp_ns,capture_timestamp_ns,tracking_state,image_file_name,image_path,image_exists,fx,fy,cx,cy,width,height,tx,ty,tz,qx,qy,qz,qw,blur_score,qc_tracking_ok,qc_image_ok,qc_intrinsics_ok,qc_blur_ok,qc_pose_ok,qc_pass,skip_reason,frame_gap_from_prev_selected,prod_adopted,prod_skip_reason
session-20260402-051025,31,1329420638063119,1329420618105308,TRACKING,frame_1329420638063119.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329420638063119.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.1569149,0.03681506,-0.10357238,-0.1752473,-0.16896822,-0.6816531,0.6899908,259.57666015625,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,34,1329420738353782,1329420718197444,TRACKING,frame_1329420738353782.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329420738353782.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.18448614,0.038141586,-0.11413337,-0.17676182,-0.1655104,-0.6795822,0.6924807,252.08750915527344,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,37,1329420838604340,1329420818289579,TRACKING,frame_1329420838604340.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329420838604340.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.20674819,0.040110204,-0.11938518,-0.17786086,-0.16076335,-0.678605,0.6942736,273.0889892578125,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,40,1329420938663912,1329420918381714,TRACKING,frame_1329420938663912.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329420938663912.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.23152398,0.04059559,-0.12517917,-0.17966057,-0.161437,-0.6777665,0.6944731,159.86561584472656,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,43,1329421038934267,1329421018473850,TRACKING,frame_1329421038934267.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329421038934267.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.26002556,0.04212804,-0.1335646,-0.18549041,-0.16130576,-0.6782999,0.6924471,304.5729064941406,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,46,1329421139000006,1329421118565985,TRACKING,frame_1329421139000006.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329421139000006.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.2870525,0.043214,-0.14080687,-0.19118819,-0.1543451,-0.6793795,0.69142467,189.2132568359375,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,49,1329421238939757,1329421218658121,TRACKING,frame_1329421238939757.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329421238939757.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.3131014,0.04447695,-0.14638181,-0.18719904,-0.16146839,-0.67862886,0.6916266,191.47557067871094,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,52,1329421339111118,1329421318750256,TRACKING,frame_1329421339111118.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329421339111118.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.3362443,0.044496313,-0.15442428,-0.19296698,-0.17129916,-0.6778401,0.68844247,85.15679168701172,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,55,1329421438874522,1329421418842392,TRACKING,frame_1329421438874522.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329421438874522.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.36285838,0.044928055,-0.1655316,-0.21235086,-0.1607909,-0.6754167,0.6876523,144.6531219482422,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,58,1329421538898970,1329421518934475,TRACKING,frame_1329421538898970.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329421538898970.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.38824394,0.04826532,-0.17323291,-0.22236264,-0.13968207,-0.6771459,0.6873989,92.65286254882812,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,61,1329421638859888,1329421619026610,TRACKING,frame_1329421638859888.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329421638859888.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.41963372,0.05003781,-0.18187535,-0.22357237,-0.12771295,-0.6845255,0.6820041,149.27684020996094,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,64,1329421739025751,1329421719118746,TRACKING,frame_1329421739025751.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329421739025751.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.44825235,0.05017941,-0.19224769,-0.22057821,-0.1246295,-0.69127166,0.6767246,212.86337280273438,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,67,1329421839126279,1329421819210881,TRACKING,frame_1329421839126279.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329421839126279.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.47618788,0.04936569,-0.20408456,-0.2169846,-0.13016632,-0.69662577,0.6713322,104.42857360839844,True,True,True,True,True,True,,3.0,True,
session-20260402-051025,70,1329421939161834,1329421919303017,TRACKING,frame_1329421939161834.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329421939161834.jpg,True,456.27792,455.49878,317.64102,245.34378,640,480,0.50327176,0.04858794,-0.21706101,-0.2137072,-0.13548301,-0.6993054,0.66853994,126.50799560546875,True,True,True,True,True,True,,3.0,True,
